small cell lung carcinoma	hsa-mir-378g
eosinophilic esophagitis	hsa-mir-636
pituitary neoplasms	hsa-mir-146b
atrophy	hsa-mir-331
inflammation	hsa-mir-329
carcinoma, small cell	hsa-mir-758
leukemia, myeloid, acute	hsa-mir-619
erythropoiesis	hsa-mir-564
behcet syndrome	hsa-mir-663a
sarcoma	hsa-mir-539
parkinson disease	hsa-mir-320b
erythropoiesis	hsa-mir-1273c
behcet syndrome	hsa-mir-377
panic disorder	hsa-mir-1303
neurofibromatosis 2	hsa-mir-525
liver neoplasms	hsa-mir-3186
diabetic retinopathy	hsa-mir-17
tourette syndrome	hsa-mir-449b
carcinoma, squamous cell	hsa-mir-502
salivary gland neoplasms	hsa-mir-589
bladder neoplasms	hsa-mir-624
head and neck neoplasms	hsa-mir-657
myeloproliferative disorders	hsa-mir-23b
hepatitis c, chronic	hsa-mir-378h
aortic valve stenosis	hsa-mir-15b
psychotic disorders	hsa-mir-376b
sarcoma	hsa-mir-637
rhinitis, allergic, perennial	hsa-mir-668
abortion, habitual	hsa-mir-23b
fatty liver, non-alcoholic	hsa-mir-103b
pulmonary fibrosis	hsa-mir-526a
hemangiosarcoma	hsa-mir-1909
sarcoma, kaposi	hsa-mir-184
cryptosporidium	hsa-mir-135a
sarcoma, ewing	hsa-mir-151a
diabetic nephropathies	hsa-mir-181a
diabetes mellitus, type 2	hsa-mir-106b
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-371
waldenstrom macroglobulinemia	hsa-mir-485
leukemia, myeloid, acute	hsa-mir-362
cardiomyopathy, hypertrophic	hsa-mir-25
cholesteatoma	hsa-mir-190a
lymphoma, large b-cell, diffuse	hsa-mir-1301
atherosclerosis	hsa-mir-193a
tuberculosis, pulmonary	hsa-mir-633
carcinoma, hepatocellular	hsa-mir-1234
hcmv infection	hsa-mir-1224
fibrosis	hsa-mir-526a
neurodegenerative diseases	hsa-mir-26
osteoarthritis	hsa-mir-566
supranuclear palsy, progressive	hsa-mir-378h
prostatic neoplasms	hsa-mir-363
lymphoma, large b-cell, diffuse	hsa-mir-519b
cystic fibrosis	hsa-mir-130a
asthma	hsa-mir-767
hyperglycemia	hsa-mir-107
aortic valve insufficiency	hsa-mir-1915
colon neoplasms	hsa-mir-342
leukemia, biphenotypic, acute	hsa-mir-372
carcinoma	hsa-mir-615
autoimmune diseases	hsa-mir-149
cerebral hemorrhage	hsa-mir-769
ovarian neoplasms	hsa-mir-378h
hypertrophy	hsa-mir-320e
fibroblasts	hsa-mir-296
lupus nephritis	hsa-mir-1254
amyotrophic lateral sclerosis	hsa-mir-328
diabetes mellitus, type 1	hsa-mir-619
diabetes mellitus, type 1	hsa-mir-338
myositis ossificans	hsa-mir-92a
aids dementia complex	hsa-mir-506
burkitt lymphoma	hsa-mir-23a
hepatitis c	hsa-mir-26b
panic disorder	hsa-mir-636
prostatic neoplasms	hsa-mir-151b
reperfusion injury	hsa-mir-145
diabetes mellitus, type 2	hsa-mir-767
chlamydia infections	hsa-mir-378f
diabetes complications	hsa-mir-423
head and neck neoplasms	hsa-mir-320d
neoplasms, glandular and epithelial	hsa-mir-624
diabetes complications	hsa-mir-1286
pre-eclampsia	hsa-mir-1972
myelodysplastic syndromes	hsa-mir-214
alzheimer disease	hsa-mir-92b
atrial fibrillation	hsa-mir-935
hepatitis c, chronic	hsa-mir-450b
azoospermia	hsa-mir-320c
leiomyosarcoma	hsa-mir-361
liver failure	hsa-mir-301b
muscular dystrophy, duchenne	hsa-mir-3196
choriocarcinoma	hsa-mir-4306
hepatitis, chronic	hsa-mir-26b
cicatrix	hsa-mir-27b
atherosclerosis	hsa-mir-941
tuberculosis, pulmonary	hsa-mir-19a
toxoplasma	hsa-mir-1271
neutropenia	hsa-mir-433
myocardium	hsa-mir-1286
retinoblastoma	hsa-mir-136
hiv	hsa-mir-152
cervical neoplasms	hsa-mir-148b
brain ischemia	hsa-mir-492
adrenal cortex neoplasms	hsa-mir-1258
osteosarcoma 	hsa-mir-942
hev	hsa-mir-511
colitis	hsa-mir-601
leiomyoma	hsa-mir-489
pheochromocytoma	hsa-mir-487b
heart defects, congenital	hsa-mir-302e
nerve sheath neoplasms	hsa-mir-187
hypoxia-ischemia, brain	hsa-mir-1234
eye abnormalities	hsa-mir-365a
musculoskeletal abnormalities	hsa-mir-26a
ovary syndrome	hsa-mir-520c
prrsv infection	hsa-mir-223
osteolysis	hsa-mir-642a
psoriasis	hsa-mir-617
ovary syndrome	hsa-mir-640
obesity	hsa-mir-663
colon neoplasms	hsa-mir-598
pregnancy, ectopic	hsa-mir-124
colon neoplasms	hsa-mir-520h
psychotic disorders	hsa-mir-488
leukemia	hsa-mir-1323
pulmonary fibrosis	hsa-mir-190a
cryptosporidium	hsa-mir-140
gastrointestinal neoplasms	hsa-mir-1245b
aortic aneurysm, thoracic	hsa-mir-300
bladder neoplasms	hsa-mir-1273a
fibrosarcoma	hsa-mir-145
intracranial aneurysm	hsa-mir-671
odontogenic tumors	hsa-mir-29a
arthritis	hsa-mir-374a
adrenocortical carcinoma	hsa-mir-216a
albuminuria	hsa-mir-9
neurodegenerative diseases	hsa-mir-30b
sjogren's syndrome	hsa-mir-134
aging	hsa-mir-498
biliary tract neoplasms	hsa-let-7d
gerstmann-straussler-scheinker disease	hsa-mir-181d
psychotic disorders	hsa-mir-216a
hepatitis, chronic	hsa-mir-378i
chondrodysplasia punctata	hsa-mir-216b
endometriosis	hsa-mir-3163
sarcoma, ewing's	hsa-mir-516a
inflammation	hsa-mir-622
diabetes complications	hsa-mir-630
cystitis, interstitial	hsa-mir-103b
myopia	hsa-mir-372
neutropenia	hsa-mir-377
multiple sclerosis	hsa-mir-590
inflammatory bowel diseases	hsa-mir-545
obesity	hsa-mir-93
francisella	hsa-mir-147a
irritable bowel syndrome	hsa-mir-548c
azoospermia	hsa-mir-370
heart defects, congenital	hsa-mir-519a
amyloidosis	hsa-let-7g
arthritis	hsa-mir-633
anoxia	hsa-mir-92
burns	hsa-mir-384
diabetes mellitus, type 1	hsa-mir-501
ischemic preconditioning	hsa-mir-600
hepatitis c, chronic	hsa-mir-521
supranuclear palsy, progressive	hsa-mir-151a
gastrointestinal neoplasms	hsa-mir-302e
myotonic dystrophy	hsa-mir-485
kidney failure, acute	hsa-mir-376c
laryngeal neoplasms	hsa-mir-3148
lung diseases, interstitial	hsa-mir-148a
prostate neoplasms	hsa-mir-760
hev	hsa-mir-224
glioblastoma	hsa-mir-1233
anoxia	hsa-mir-371a
carcinoma	hsa-mir-142
neuroma, acoustic	hsa-mir-210
myositis ossificans	hsa-mir-200c
schizophrenia	hsa-mir-107
lichen planus, oral	hsa-mir-431
biliary atresia	hsa-mir-520f
atrial fibrillation	hsa-mir-519d
fatty liver	hsa-mir-552
moyamoya disease	hsa-mir-374a
muscular dystrophies	hsa-mir-455
acute lung injury	hsa-mir-155
biliary atresia	hsa-mir-662
leukemia, myeloid	hsa-mir-181c
muscular dystrophy, duchenne	hsa-mir-765
drug-induced liver injury	hsa-mir-711
cicatrix	hsa-mir-26
gastrointestinal neoplasms	hsa-mir-611
lupus vulgaris	hsa-mir-384
astrocytoma	hsa-mir-320a
leukemia, lymphoblastic, chronic	hsa-mir-548c
muscular dystrophy, facioscapulohumeral	hsa-mir-675
focal epithelial hyperplasia	hsa-mir-379
liver diseases	hsa-mir-431
tongue neoplasms	hsa-mir-302e
muscular disorders, atrophic	hsa-mir-151b
medulloblastoma	hsa-mir-378c
mycosis fungoides	hsa-mir-532
spinal cord injuries	hsa-mir-33b
cardiovascular diseases	hsa-mir-621
myocytes, cardiac	hsa-mir-133a
nerve sheath neoplasms	hsa-mir-1224
chordoma	hsa-mir-483
cicatrix	hsa-mir-1290
encephalomyelitis, autoimmune, experimental	hsa-mir-137
carcinoma, renal cell	hsa-mir-379
cerebellar neoplasms	hsa-mir-190b
muscular disorders, atrophic	hsa-mir-545
retinoblastoma	hsa-mir-512
aortic aneurysm, thoracic	hsa-mir-199a
atrial fibrillation	hsa-mir-384
hematologic neoplasms	hsa-mir-378h
intracranial aneurysm	hsa-mir-136
glioblastoma 	hsa-mir-488
chondrodysplasia punctata	hsa-mir-33a
hodgkin disease	hsa-mir-193a
ischemic preconditioning	hsa-mir-630
dermatitis, atopic	hsa-mir-25
prostatic neoplasms	hsa-mir-654
aids dementia complex	hsa-mir-648
hpv infection	hsa-mir-30b
atrial fibrillation	hsa-mir-26b
retinal degeneration	hsa-mir-544b
cerebral hemorrhage	hsa-mir-454
glioblastoma 	hsa-mir-27b
francisella	hsa-mir-874
hemangioma	hsa-mir-592
lymphoma, extranodal nk-t-cell	hsa-mir-1273a
drug-induced liver injury	hsa-mir-106a
asthma	hsa-mir-933
ovary syndrome	hsa-mir-487a
leukemia, myeloid, acute	hsa-mir-527
polycythemia vera	hsa-mir-28
distal myopathies	hsa-mir-208b
hamartoma syndrome, multiple	hsa-mir-451
heart failure	hsa-mir-486
hearing loss	hsa-mir-520f
psychotic disorders	hsa-mir-1234
long qt syndrome	hsa-mir-215
myeloproliferative disorders	hsa-mir-636
fatty liver, non-alcoholic	hsa-mir-1273a
pulmonary disease, chronic obstructive	hsa-mir-4792
aortic valve insufficiency	hsa-mir-449a
helplessness, learned	hsa-mir-1297
psychotic disorders	hsa-mir-933
lymphoma, b-cell	hsa-mir-378d
hand, foot and mouth disease	hsa-mir-24
hemangiosarcoma	hsa-mir-140
hemangiosarcoma	hsa-mir-296
burkitt lymphoma	hsa-mir-212
laryngeal neoplasms	hsa-mir-495
neoplasms, squamous cell	hsa-mir-516a
mastocytosis, systemic	hsa-mir-331
diabetes mellitus	hsa-mir-184
carcinoma, squamous cell	hsa-mir-325
asthma	hsa-mir-452
psychotic disorders	hsa-mir-199b
albuminuria	hsa-mir-1275
carcinoma, squamous cell	hsa-mir-195
prostate neoplasms	hsa-mir-718
odontogenic tumors	hsa-mir-4306
influenza, human	hsa-mir-15b
amyloidosis	hsa-mir-320b
intellectual disability	hsa-mir-300
hemangiosarcoma	hsa-let-7e
schistosomiasis	hsa-mir-513a
anemia, sickle cell	hsa-mir-513b
atrophy	hsa-mir-18b
radiation injuries	hsa-mir-516a
mycosis fungoides	hsa-mir-448
lupus erythematosus, systemic	hsa-mir-212
melanoma	hsa-mir-122
odontogenic tumors	hsa-mir-29b
fibrosis	hsa-mir-509
leukemia, lymphoblastic, chronic	hsa-mir-652
arthritis, psoriatic	hsa-mir-147b
rna virus infections	hsa-mir-635
leukemia, b-cell	hsa-mir-611
neoplasms, squamous cell	hsa-mir-521
arthritis	hsa-mir-663b
prostatic neoplasms	hsa-mir-1256
hepatitis	hsa-mir-20a
multiple sclerosis	hsa-mir-208b
carcinoma, non-small-cell lung	hsa-mir-200b
prolactinoma	hsa-mir-29a
melanoma	hsa-mir-409
leukemia, biphenotypic, acute	hsa-mir-15a
neoplasms, squamous cell	hsa-mir-146a
leukemia, myeloid	hsa-mir-622
sjogren's syndrome	hsa-mir-548d
lichen planus, oral	hsa-mir-569
colonic neoplasms	hsa-mir-219
neurodegenerative diseases	hsa-mir-378h
carcinoma, non-small-cell lung	hsa-mir-422a
fibrosis	hsa-mir-365a
nervous system diseases	hsa-mir-642b
gastrointestinal neoplasms	hsa-mir-425
gastritis, atrophic	hsa-mir-28
leiomyosarcoma	hsa-mir-500b
antiphospholipid syndrome	hsa-mir-654
pancreatic neoplasms	hsa-mir-557
graft vs host disease	hsa-mir-329
carcinoma, endometrioid	hsa-mir-548d
hepatitis, chronic	hsa-mir-320a
scleroderma, localized	hsa-mir-374b
heart failure	hsa-mir-331
hodgkin disease	hsa-mir-330
azoospermia	hsa-mir-1273a
keratoconus	hsa-mir-520f
endothelium, vascular	hsa-mir-222
tourette syndrome	hsa-mir-1
albuminuria	hsa-mir-508
parkinson disease	hsa-mir-1202
carcinoma, renal cell	hsa-mir-1302
hiv infection	hsa-mir-190a
choriocarcinoma	hsa-mir-329
mouth neoplasms	hsa-mir-218
cardiomyopathies	hsa-mir-487b
lung neoplasms	hsa-mir-550a
muscular disorders, atrophic	hsa-mir-145
pituitary neoplasms	hsa-mir-557
carcinoma, small cell	hsa-mir-504
leukemia, myeloid	hsa-mir-873
dementia	hsa-mir-373
liposarcoma	hsa-mir-1275
myocytes, cardiac	hsa-mir-222
lung diseases, interstitial	hsa-mir-3940
myocardial reperfusion injury	hsa-mir-520f
neoplasms, squamous cell	hsa-mir-602
drug-induced liver injury	hsa-mir-490
hemangioma	hsa-mir-3186
hiv	hsa-mir-329
distal myopathies	hsa-mir-1273c
granulosa cell tumor	hsa-mir-130b
leukemia, lymphocytic, chronic, b-cell	hsa-mir-135a
ovary syndrome	hsa-mir-320c
child development disorders, pervasive	hsa-mir-136
myositis ossificans	hsa-mir-95
rhabdomyosarcoma	hsa-mir-608
carcinoma, renal cell	hsa-mir-184
adenoma	hsa-mir-627
hand, foot and mouth disease	hsa-mir-1471
barrett esophagus	hsa-mir-92a
aortic valve insufficiency	hsa-mir-1286
hyperglycemia	hsa-mir-495
intervertebral disk	hsa-mir-491
myocardial ischemia	hsa-mir-299
carcinoma, ehrlich tumor	hsa-mir-603
hamartoma syndrome, multiple	hsa-mir-1233
fatty liver, non-alcoholic	hsa-mir-15a
drug-induced liver injury	hsa-mir-616
cholangiocarcinoma	hsa-mir-151
inflammation	hsa-mir-92
cardiomyopathy, dilated	hsa-mir-2110
liver cirrhosis, biliary	hsa-mir-346
muscular dystrophy, duchenne	hsa-mir-1236
fatty liver	hsa-mir-526a
metabolic diseases	hsa-mir-298
nerve sheath neoplasms	hsa-mir-758
leukemia, myeloid, acute	hsa-mir-338
endometrial neoplasms	hsa-mir-642b
hcv	hsa-mir-621
vascular calcification	hsa-mir-411
alopecia	hsa-mir-632
alzheimer disease	hsa-mir-500b
central nervous system diseases	hsa-mir-2110
pituitary adenomas	hsa-mir-30e
giant cell tumors	hsa-mir-133a
esophageal neoplasms	hsa-mir-513a
kidney failure, acute	hsa-mir-411
hamartoma syndrome, multiple	hsa-mir-1181
spinal cord injuries	hsa-mir-2110
adrenocortical carcinoma	hsa-mir-374a
neoplasms, germ cell and embryonal	hsa-mir-483
retinoblastoma	hsa-mir-596
leukemia, lymphoblastic, acute	hsa-mir-663b
frontotemporal lobar degeneration	hsa-mir-125a
hodgkin disease	hsa-mir-298
arthritis, rheumatoid	hsa-mir-216b
acute coronary syndrome	hsa-mir-124a
hypertrophy, left ventricular	hsa-mir-214
schizophrenia	hsa-mir-214
myocardium	hsa-mir-378b
atherosclerosis	hsa-mir-513a
uterine cervical neoplasms	hsa-mir-411
obesity	hsa-mir-602
eclampsia	hsa-mir-378h
diabetes mellitus, type 2	hsa-mir-326
hiv-1	hsa-mir-1297
patau syndrome	hsa-mir-136
angina, unstable	hsa-mir-373
azoospermia	hsa-mir-600
moyamoya disease	hsa-mir-502
carcinoma, ehrlich tumor	hsa-mir-590
hbv infection	hsa-mir-19b
hearing loss	hsa-mir-624
colorectal neoplasms	hsa-let-7i
tongue neoplasms	hsa-mir-1273a
scleroderma, localized	hsa-mir-1301
hepatitis	hsa-mir-26
hepatoblastoma	hsa-mir-190b
carcinoma, oral	hsa-mir-452
long qt syndrome	hsa-mir-33b
myocytes, cardiac	hsa-mir-451b
creutzfeldt-jakob syndrome	hsa-mir-363
anxiety disorders	hsa-mir-10b
pulmonary embolism	hsa-let-7a
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-219
carcinoma, embryonal	hsa-mir-181a
oligodendroglioma	hsa-mir-29b
osteolysis	hsa-mir-493
myelodysplastic syndromes	hsa-mir-450a
nervous system diseases	hsa-mir-514a
hypoxia-ischemia, brain	hsa-mir-451
erythropoiesis	hsa-mir-598
kidney failure, acute	hsa-mir-658
glomerulonephritis, iga	hsa-mir-150
alzheimer disease	hsa-mir-1202
astrocytoma	hsa-mir-384
coronary artery disease	hsa-mir-10b
hepatitis	hsa-mir-619
stomach neoplasms	hsa-mir-1972
periodontal diseases	hsa-mir-15b
colonic neoplasms	hsa-mir-146b
lupus erythematosus, systemic	hsa-mir-922
myotonic dystrophy	hsa-mir-373
anus neoplasms	hsa-mir-485
pituitary adenomas	hsa-mir-133b
sarcoma	hsa-mir-602
hypopharyngeal neoplasms	hsa-mir-767
schistosomiasis	hsa-mir-518e
synapses	hsa-mir-10b
multiple endocrine neoplasia type 1	hsa-mir-421
heart defects, congenital	hsa-mir-520c
anus neoplasms	hsa-mir-3163
down syndrome	hsa-mir-1179
adenoviridae infections	hsa-mir-1285
diabetic retinopathy	hsa-mir-30d
glomerulonephritis	hsa-mir-372
choriocarcinoma	hsa-mir-326
osteolysis	hsa-mir-204
hiv infection	hsa-mir-636
ischemia	hsa-mir-4306
ependymoma	hsa-mir-451
muscular disorders, atrophic	hsa-mir-200b
hepatitis b, chronic	hsa-mir-655
mycosis fungoides	hsa-mir-513c
siv infection	hsa-mir-29a
sarcoma, ewing	hsa-mir-17
focal epithelial hyperplasia	hsa-mir-1207
osteoarthritis	hsa-mir-186
liver diseases, alcoholic	hsa-mir-590
waldenstrom macroglobulinemia	hsa-mir-1184
sezary syndrome	hsa-mir-300
drug-induced liver injury	hsa-mir-1290
keloid	hsa-let-7d
sars virus	hsa-mir-662
mycosis fungoides	hsa-mir-101
brain injury	hsa-mir-552
lichen planus, oral	hsa-mir-98
neoplasms	hsa-mir-10b
frontotemporal lobar degeneration	hsa-mir-624
prrsv infection	hsa-mir-495
toxoplasmosis	hsa-mir-23b
adrenocortical adenoma	hsa-mir-151b
supranuclear palsy, progressive	hsa-mir-187
cerebellar neoplasms	hsa-mir-130b
leiomyosarcoma	hsa-mir-499b
metabolic diseases	hsa-mir-612
carcinoma, basal cell	hsa-mir-1299
alopecia	hsa-mir-520d
pancreatic neoplasms	hsa-mir-378d
anemia, sickle cell	hsa-mir-216a
schizophrenia	hsa-mir-1296
giant cell tumors	hsa-mir-1245b
coronary artery disease	hsa-mir-128
leukemia, lymphocytic, chronic, b-cell	hsa-mir-501
leukemia, acute	hsa-mir-513c
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-598
lymphoma, b-cell	hsa-mir-449b
prrsv infection	hsa-mir-374b
hbv infection	hsa-mir-377
vitiligo	hsa-mir-1184
angina, unstable	hsa-mir-1258
pancreatic neoplasms	hsa-mir-378f
multiple sclerosis	hsa-mir-324
demyelinating diseases	hsa-mir-519b
adrenocortical adenoma	hsa-mir-300
fibroblasts	hsa-mir-873
heart defects, congenital	hsa-mir-1202
colonic neoplasms	hsa-mir-1246
myopia	hsa-mir-367
hematologic neoplasms	hsa-mir-567
lymphoma, primary effusion	hsa-mir-527
intracranial aneurysm	hsa-mir-544a
tongue neoplasms	hsa-mir-300
central nervous system diseases	hsa-mir-527
neoplasms	hsa-mir-95
trophoblasts	hsa-mir-125b
keratoconus	hsa-mir-450b
kidney neoplasms	hsa-mir-1915
lupus erythematosus, systemic	hsa-mir-298
ischemia	hsa-mir-1249
asthma	hsa-mir-518f
ischemia	hsa-mir-484
mesothelioma	hsa-mir-548d
liver cirrhosis, biliary	hsa-mir-369
multiple myeloma	hsa-mir-302d
hev	hsa-mir-518b
supranuclear palsy, progressive	hsa-mir-10a
hand, foot and mouth disease	hsa-mir-1322
kidney failure, chronic	hsa-mir-342
rhinitis, allergic, perennial	hsa-mir-30d
fanconi anemia	hsa-mir-518c
hbv infection	hsa-mir-2110
waldenstrom macroglobulinemia	hsa-mir-500b
influenza, human	hsa-mir-3940
musculoskeletal abnormalities	hsa-mir-490
gastrointestinal neoplasms	hsa-mir-1271
ischemic preconditioning	hsa-mir-1469
ischemia	hsa-mir-194
cardiomyopathies	hsa-mir-132
breast neoplasms	hsa-mir-371
atrophy	hsa-mir-425
heart defects, congenital	hsa-mir-203
keratoconus	hsa-mir-217
carcinoma, oral	hsa-mir-338
liver cirrhosis, biliary	hsa-mir-1293
biliary atresia	hsa-mir-652
endothelium, vascular	hsa-mir-184
hiv infection	hsa-mir-602
hepatoblastoma	hsa-mir-342
kidney neoplasms	hsa-mir-1301
waldenstrom macroglobulinemia	hsa-mir-874
neurilemmoma	hsa-mir-504
hepatitis b	hsa-mir-181b
radiation injuries	hsa-mir-495
atrophy	hsa-mir-328
lupus vulgaris	hsa-mir-16
reperfusion injury	hsa-mir-376b
kidney diseases	hsa-mir-153
rhinitis, allergic, perennial	hsa-mir-92
bladder neoplasms	hsa-mir-484
cicatrix	hsa-mir-16
heart failure	hsa-mir-126
inflammation	hsa-mir-409
neurodegenerative diseases	hsa-mir-190b
barrett esophagus	hsa-mir-302e
frontotemporal lobar degeneration	hsa-mir-659
testicular neoplasms	hsa-mir-448
irritable bowel syndrome	hsa-mir-196a
head and neck neoplasms	hsa-mir-1322
polycythemia vera	hsa-mir-942
hev	hsa-mir-208a
lymphoma, large-cell, anaplastic	hsa-mir-612
acth-secreting pituitary adenoma	hsa-mir-567
sarcoma, ewing	hsa-mir-1285
thyroid neoplasms	hsa-mir-302a
nasopharyngeal neoplasms	hsa-mir-299
burns	hsa-mir-302b
supranuclear palsy, progressive	hsa-let-7a
pregnancy, ectopic	hsa-let-7e
eosinophilic esophagitis	hsa-mir-625
hiv infection	hsa-mir-663b
myasthenia gravis	hsa-let-7a
adenoviridae infections	hsa-mir-487a
sars virus	hsa-mir-302c
asthma	hsa-mir-664
albuminuria	hsa-mir-1915
long qt syndrome	hsa-mir-542
distal myopathies	hsa-mir-146b
huntington disease	hsa-mir-590
prion diseases	hsa-mir-484
sarcoma, synovial	hsa-mir-557
gastritis, atrophic	hsa-mir-1273c
heart defects, congenital	hsa-mir-641
arthritis, psoriatic	hsa-mir-141
diabetes mellitus, type 1	hsa-mir-582
gerstmann-straussler-scheinker disease	hsa-mir-1231
leukemia, myeloid	hsa-mir-298
arthritis, rheumatoid	hsa-mir-198
atherosclerosis	hsa-mir-571
pemphigus, benign familial	hsa-mir-1258
carcinoma, ehrlich tumor	hsa-mir-517a
endothelium, vascular	hsa-mir-509
cardiomyopathy, dilated	hsa-mir-769
hepatitis c	hsa-let-7b
sarcoma, ewing's	hsa-mir-423
aging	hsa-mir-449c
hiv infection	hsa-mir-202
brain neoplasms	hsa-mir-622
heart diseases	hsa-mir-30e
antiphospholipid syndrome	hsa-mir-374a
moyamoya disease	hsa-mir-628
digestive system neoplasms	hsa-mir-320e
odontogenic tumors	hsa-mir-3186
leukemia-lymphoma, adult t-cell	hsa-mir-221
lymphoma, large-cell, anaplastic	hsa-mir-371a
kidney failure, acute	hsa-mir-519c
muscular dystrophy, duchenne	hsa-mir-659
lymphoma, large b-cell, diffuse	hsa-mir-599
trophoblasts	hsa-mir-181a
kidney neoplasms	hsa-mir-492
carcinoma, small cell	hsa-mir-33b
leprosy	hsa-mir-497
arthritis, rheumatoid	hsa-mir-194
hand, foot and mouth disease	hsa-mir-15b
hypertension	hsa-mir-320e
cerebral ischemia	hsa-mir-1287
gastric neoplasms	hsa-mir-3151
sarcoma, ewing's	hsa-mir-125b
arthritis	hsa-mir-3130
hand, foot and mouth disease	hsa-mir-942
rna virus infections	hsa-mir-510
scleroderma, systemic	hsa-mir-1
lymphoma, primary effusion	hsa-mir-132
pemphigus, benign familial	hsa-mir-2861
pre-eclampsia	hsa-mir-133a
parkinson disease	hsa-mir-3148
pulmonary disease, chronic obstructive	hsa-mir-663
cocaine-related disorders	hsa-mir-219
lymphoproliferative disorders	hsa-mir-302f
eczema	hsa-mir-3186
lymphoma, b-cell	hsa-mir-635
myasthenia gravis	hsa-mir-29c
leukemia, lymphoblastic, acute	hsa-mir-107
hepatitis	hsa-mir-135b
glioblastoma	hsa-mir-216b
chordoma	hsa-mir-15a
anxiety disorders	hsa-mir-1249
fragile x syndrome	hsa-mir-33a
myocardial reperfusion injury	hsa-mir-20a
testicular neoplasms	hsa-mir-383
eclampsia	hsa-mir-299
parkinson disease	hsa-mir-384
periodontal diseases	hsa-mir-505
adrenocortical carcinoma	hsa-mir-502
fatty liver	hsa-mir-374a
pituitary neoplasms	hsa-mir-138
distal myopathies	hsa-mir-190b
autoimmune diseases	hsa-mir-1184
pulmonary fibrosis	hsa-mir-204
eosinophilic esophagitis	hsa-mir-659
gastritis, atrophic	hsa-mir-513b
lymphoma, large b-cell, diffuse	hsa-mir-632
pituitary neoplasms	hsa-mir-208a
neuroblastoma	hsa-mir-520h
autistic disorder	hsa-mir-1207
adrenocortical adenoma	hsa-mir-1
cicatrix	hsa-mir-107
odontogenic tumors	hsa-mir-337
cicatrix	hsa-mir-1224
urinary bladder neoplasms	hsa-mir-641
hepatitis b	hsa-mir-566
atrophy	hsa-mir-508
sepsis	hsa-mir-147b
myocardial reperfusion injury	hsa-mir-101
carcinoma, small cell	hsa-mir-627
hepatitis b	hsa-mir-424
gout	hsa-mir-517a
adenoviridae infections	hsa-mir-218
neoplasms	hsa-mir-101
myocarditis	hsa-mir-616
carcinoma, neuroendocrine	hsa-mir-1296
fatty liver, alcoholic	hsa-mir-3163
hematologic neoplasms	hsa-mir-130b
drug-induced liver injury	hsa-mir-372
liver failure	hsa-mir-346
osteosarcoma	hsa-mir-1231
lymphoma, mantle-cell	hsa-mir-140
schistosomiasis	hsa-mir-200c
salivary gland neoplasms	hsa-mir-208b
sarcoma, kaposi	hsa-mir-4257
schizophrenia	hsa-mir-326
child development disorders, pervasive	hsa-mir-1202
crohn disease	hsa-mir-493
ischemic preconditioning	hsa-mir-449a
bladder neoplasms	hsa-mir-661
lymphoma, mantle-cell	hsa-mir-1273a
fatty liver	hsa-mir-513a
inflammatory bowel diseases	hsa-mir-100
pulmonary embolism	hsa-mir-384
heart defects, congenital	hsa-mir-625
adenocarcinoma	hsa-mir-526a
thyroid neoplasms	hsa-mir-363
neuroma, acoustic	hsa-mir-20b
odontogenic tumors	hsa-mir-298
liver diseases	hsa-mir-323a
cardiomegaly	hsa-mir-298
drug-induced liver injury	hsa-mir-654
hbv infection	hsa-mir-431
chlamydia infections	hsa-mir-15a
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-451a
erythropoiesis	hsa-mir-4792
leukemia, acute	hsa-mir-145
carcinoma, ductal, breast	hsa-mir-885
cardiomegaly	hsa-mir-574
anoxia	hsa-mir-299
hepatitis b, chronic	hsa-mir-668
kidney failure, acute	hsa-mir-222
hemangiosarcoma	hsa-mir-451
barrett esophagus	hsa-mir-1236
encephalomyelitis, autoimmune, experimental	hsa-mir-148a
neutropenia	hsa-mir-181c
cholangiocarcinoma	hsa-mir-1233
endothelium, vascular	hsa-mir-1256
oligodendroglioma	hsa-mir-99b
graft vs host disease	hsa-mir-208a
chordoma	hsa-mir-377
vitiligo	hsa-mir-449a
diabetes mellitus	hsa-mir-598
anus neoplasms	hsa-mir-1245a
tuberculosis, pulmonary	hsa-mir-646
infertility, male	hsa-mir-767
anemia, sickle cell	hsa-mir-569
hbv infection	hsa-mir-567
aortic aneurysm, thoracic	hsa-mir-1233
stomach neoplasms 	hsa-mir-203
urinary bladder neoplasms	hsa-mir-452
muscular dystrophy, facioscapulohumeral	hsa-mir-22
infertility, male	hsa-mir-181b
creutzfeldt-jakob syndrome	hsa-mir-491
francisella	hsa-mir-718
sarcoma, ewing's	hsa-mir-196b
keloid	hsa-mir-143
colon neoplasms	hsa-mir-149
liver diseases, alcoholic	hsa-mir-671
atherosclerosis	hsa-mir-486
leprosy	hsa-mir-572
dyslipidemias	hsa-let-7f
carcinoma	hsa-mir-523
gastric neoplasms	hsa-mir-190a
hbv infection	hsa-mir-188
prolactinoma	hsa-mir-378f
endometriosis	hsa-mir-369
antiphospholipid syndrome	hsa-mir-1290
intracranial aneurysm	hsa-mir-621
leukemia, lymphocytic, chronic, b-cell	hsa-mir-378a
multiple sclerosis	hsa-mir-1469
coronary artery disease	hsa-mir-208b
